Symbol,Company Name,Price Performance (52 Weeks),Total Return (1 Yr Annualized),Beta (1 Year Annualized),Standard Deviation (1 Yr Annualized)
PKBK,Parke Bancorp ,10.97345,15.47541,0.753818,0.32776
PLBC,Plumas Bancorp,20.17132,23.44095,0.849853,0.36331
PNBK,Patriot National Bancorp ,-67.56032,-67.56032,1.44728,0.79553
PNFP,Pinnacle Financial Partners ,25.35902,26.5144,1.321755,0.34473
PPBI,Pacific Premier Bancorp ,-8.44294,-3.44057,1.117315,0.3502
PPBN,Pinnacle Bankshares ,16.14545,20.06222,0.0,0.0
PRK,Park National ,16.1128,19.43575,1.088758,0.32327
PROV,Provident Financial Holdings ,6.61278,10.87051,0.263723,0.17864
PB,Prosperity Bancshares ,9.78717,13.46639,0.71803,0.24706
PSBQ,PSB Holdings /WI,19.95294,23.34344,0.0,0.0
PWOD,Penns Woods Bancorp ,48.88653,56.74862,0.610579,0.28475
QCRH,QCR Holdings ,21.46482,21.87486,0.87669,0.31136
QNBC,QNB ,47.18163,54.71476,-0.199735,0.0
RBCAA,Republic Bancorp ,29.7842,33.26857,1.044532,0.33882
SBFG,SB Financial Group ,48.74552,53.67982,0.193063,0.31687
RF,Regions Financial ,4.91245,9.47422,0.989848,0.26679
BCAL,California Ban,-3.61775,-3.61775,0.610998,0.27123
RVSB,Riverview Bancorp ,24.73348,28.00038,0.267846,0.28261
SBCF,Seacoast Banking  of Florida,2.98869,5.90345,0.97787,0.3068
SBSI,Southside Bancshares ,0.59172,5.27457,0.744899,0.29267
SSB,SouthState oration,10.8761,13.39296,1.141255,0.32608
SFBI,SFSB ,0.0,0.0,0.0,0.0
SFIGA,Star Financial Group ,0.0,0.0,0.0,0.0
SFNC,Simmons First National ,5.70244,10.23097,0.797933,0.29326
SHBI,Shore Bancshares ,22.54283,26.84993,1.1042,0.33806
SMBC,Southern Missouri Bancorp ,22.17534,24.23359,1.112387,0.31393
SNV,Synovus Financial .,16.64542,20.70486,1.725016,0.36305
SRCE,1st Source ,16.38802,19.24864,0.809574,0.30492
STBA,S&T Bancorp ,16.4942,20.62745,0.792175,0.35017
STBI,Sturgis Bancorp ,7.76119,11.96573,-0.126351,0.15057
TBBK,Bancorp  (The),62.53795,62.53795,1.027848,0.43733
TCBI,Texas Capital Bancshares ,24.78604,24.78604,0.939529,0.31438
TCBK,Tri Bancshares,11.52333,15.02252,1.02969,0.32363
THFF,First Financial ,30.43711,36.26904,1.078746,0.32696
TMP,Tompkins Financial ,27.99591,33.30963,1.062582,0.38306
TOWN,TowneBank,22.76688,26.6537,0.9321,0.26656
TRMK,Trustmark ,25.44529,28.89306,1.110667,0.30637
TRST,Trust Bank  NY,8.97436,13.96287,0.8571,0.29079
TSBK,Timberland Bancorp ,14.3776,18.25509,0.923655,0.32207
TVNB,Turbotville National Bank/PA,0.0,0.0,0.0,0.0
TYCB,Taylor Calvin B Bankshares ,1.66522,4.68536,0.0,0.0
TYFG,Tri-unty Financial Group ,7.17726,9.33285,0.0,0.0
UBAB,United Bancorporation of Alabama ,26.62722,29.29542,0.509823,0.16942
UBCP,United Bancorp ,-14.1996,-8.25663,-0.024421,0.29684
UBFO,United Security Bancshares,18.06109,25.08061,0.627853,0.20768
UBOH,United Bancshares /OH,43.75661,49.58172,0.211017,0.24625
AUB,Atlantic Union Bankshares ,-13.17829,-10.07152,1.018595,0.33189
UBSI,United Bankshares ,-2.04836,2.10997,0.835242,0.27809
UCB,United mmunity Banks ,9.52946,13.22847,1.157608,0.31835
UMBF,UMB Financial ,18.886,20.77193,1.259165,0.29743
UNB,Union Bankshares ,1.34075,6.60191,0.599362,0.3993
UNIB,University Bancorp ,16.66667,18.78788,0.0,0.0
UNTY,Unity Bancorp ,49.45848,51.70776,1.279482,0.43325
FUSB,First US Bancshares ,52.71493,55.70389,0.50678,0.28473
UNTN,United Tennessee Bankshares ,3.10606,6.79267,0.0,0.0
UVSP,Univest Financial ,41.17936,45.72497,1.109355,0.32508
UWHR,Uwharrie Capital ,0.0,0.0,0.0,0.0
VABK,Virginia National Bankshares ,24.56321,29.14171,1.085155,0.39159
VLY,Valley National Bancorp,12.81726,18.93203,1.104602,0.35521
WABC,Westamerica Bancorporation,3.84374,7.50358,0.909274,0.26545
WASH,Washington Trust Bancorp ,13.51454,20.04549,1.070421,0.34269
WBS,Webster Financial ,2.4021,5.65063,1.360194,0.35506
WNEB,Western New England Bancorp ,23.32016,27.68386,0.701252,0.35275
WAFD,WaFd ,-0.56378,2.72037,0.588235,0.30735
WSBC,WesBanco ,4.96575,9.94061,0.918554,0.30101
WSFS,WSFS Financial ,17.99457,19.34989,1.038042,0.3202
WTBA,West Bancorporation ,13.30249,19.12945,1.099973,0.34038
WTFC,Wintrust Financial .,9.11031,10.91115,1.222487,0.28767
WVFC,WVS Financial .,0.0,0.0,0.0,0.0
ZION,Zions Bancorporation National Association,15.12331,18.98571,1.440614,0.32445
AX,Axos Financial .,22.77322,22.77322,1.49547,0.43311
MCHB,Mechanics Bank (The) (CA),7.05882,8.98176,0.0,0.0
PCB,PCB Bancorp,16.64565,21.45122,0.852001,0.31679
GSBX,Golden State Bancorp,15.81395,15.81395,0.0,0.0
BWFG,Bankwell Financial Group ,18.60373,22.06769,0.799344,0.27788
LYBC,Lyons Bancorp ,1.26582,5.4041,0.0,0.0
FRSB,First Resources Bancorp ,8.33251,8.33251,0.0,0.0
BCML,Baym ,24.25863,26.80822,1.082886,0.30127
EFSC,Enterprise Financial Services oration,36.56545,39.60623,0.695988,0.31597
RWCB,Redwood Capital Bancorp,7.94734,9.55853,0.0,0.0
SCZC,West ast mmunity Bancorp,40.64516,43.4149,0.236089,0.19358
NIDB,Northeast Indiana Bancorp ,4.70588,9.1497,0.0,0.0
BFIN,BankFinancial ,20.09524,24.24072,0.535798,0.23941
WAL,Western Alliance Bancorporation,21.21358,23.54225,1.364056,0.36726
OTTW,Ottawa Bancorp ,31.67421,36.01357,0.076305,0.11002
SYBT,Stock Yards Bancorp ,44.43746,47.34953,1.315722,0.34365
OPBK,OP Bancorp,18.95687,23.47607,0.839739,0.34626
MNSB,MainStreet Bancshares ,-6.78909,-4.5522,0.523776,0.30748
FBIZ,First Business Financial Services ,32.42794,35.58815,0.981506,0.34108
MGYR,Magyar Bancorp ,24.41652,26.84272,0.241167,0.15323
FFBB,FFB Bancorp,-6.58896,-6.58896,0.183511,0.2616
LSBK,Lake Shore Bancorp ,33.78378,41.12401,0.277382,0.27387
TRVR,Two Rivers Financial Group ,0.0,0.0,0.0,0.0
HOMB,Home Bancshares ,17.09544,20.3236,0.7242,0.26694
NECB,Northeast mmunity Bancorp ,51.69763,56.38501,1.165182,0.36302
GBNY,Generations Bancorp NY ,58.883,58.883,0.238021,0.0
SSBI,Summit State Bank,-13.55932,-11.96967,0.227626,0.51019
LFGP,Ledyard Financial Group ,1.97368,8.09516,-0.071878,0.15575
ARBV,American Riviera Bancorp,19.82489,19.82489,0.067024,0.12331
