Symbol,Company Name,P/E (Price/TTM Earnings),PEG Ratio,EPS Growth (Proj This Yr vs. Last Yr),Institutional Ownership,Institutional Ownership (Last vs. Prior Qtr)
TMP,Tompkins Financial ,12.7,0.0,12.05231,65.6862,2.3519
TOWN,TowneBank,15.8,0.0,21.42202,57.7126,3.4892
TRMK,Trustmark ,46.7,0.0,-7.02479,72.5538,1.3253
TRST,Trust Bank  NY,11.9,0.0,0.0,73.2018,4.0118
TSBK,Timberland Bancorp ,9.9,0.0,0.0,63.8493,-0.2199
TVNB,Turbotville National Bank/PA,0.0,0.0,0.0,0.0,0.0
TYCB,Taylor Calvin B Bankshares ,0.0,0.0,0.0,0.0,-100.0
TYFG,Tri-unty Financial Group ,0.0,0.0,0.0,2.5924,0.0
UBAB,United Bancorporation of Alabama ,0.0,0.0,0.0,5.8115,-6.3074
UBCP,United Bancorp ,10.4,0.0,19.68504,11.7201,20.8882
UBFO,United Security Bancshares,10.5,0.0,0.0,32.287,10.9952
UBOH,United Bancshares /OH,0.0,0.0,0.0,0.768,0.0
AUB,Atlantic Union Bankshares ,13.7,0.0,21.24088,93.6698,24.3219
UBSI,United Bankshares ,12.6,0.0,3.38182,69.1339,4.1702
UCB,United mmunity Banks ,13.7,0.0,5.95652,94.1899,5.6893
UMBF,UMB Financial ,11.3,0.0,4.24917,70.2759,2.104
UNB,Union Bankshares ,15.5,0.0,0.0,19.6419,19.1807
UNIB,University Bancorp ,0.0,0.0,0.0,0.0,0.0
UNTY,Unity Bancorp ,10.3,0.0,18.57143,49.7499,5.4694
FUSB,First US Bancshares ,10.1,0.0,0.0,17.4634,1.598
UNTN,United Tennessee Bankshares ,0.0,0.0,0.0,0.0,0.0
UVSP,Univest Financial ,11.3,0.0,-2.4031,77.9552,1.8192
UWHR,Uwharrie Capital ,6.7,0.0,0.0,0.0,0.0
VABK,Virginia National Bankshares ,11.7,0.0,0.0,0.0,0.5944
VLY,Valley National Bancorp,13.1,0.0,53.3871,0.0,16.7562
WABC,Westamerica Bancorporation,9.6,0.0,-16.05769,76.9545,0.8913
